Column1,date,temperature_2m_max,temperature_2m_min,sunshine_duration,precipitation_sum,et0_fao_evapotranspiration
243,4/27/1951 3:00,14.552917,8.277916,22712.447,4.7999997,14.000049
244,4/28/1951 3:00,9.83625,4.5779166,17347.635,4.166667,18.640501
245,4/29/1951 3:00,8.269584,3.3445835,12156.649,3.2666671,10.420937
246,4/30/1951 3:00,10.102917,2.4779167,19906.617,2.6166668,9.115357
247,5/1/1951 3:00,15.18625,1.2945833,47174.875,0.033333335,13.464225
248,5/2/1951 3:00,17.602919,4.63625,40950.27,0.05,14.111802
249,5/3/1951 3:00,17.18625,8.43625,40500.74,0.44999996,14.5839205
250,5/4/1951 3:00,17.28625,8.519584,35913.926,3.8999999,17.708544
251,5/5/1951 3:00,14.777917,8.144584,33221.734,2.3833334,14.7674265
252,5/6/1951 3:00,16.144583,5.43625,38690.293,0.76666665,11.101754
253,5/7/1951 3:00,16.552916,7.277916,36120.293,2.6833334,11.789039
254,5/8/1951 3:00,15.977916,8.244583,30685.943,4.9,14.7001915
255,5/9/1951 3:00,14.78625,7.644583,23880.896,1.3666667,13.311997
256,5/10/1951 3:00,13.569583,8.119583,24365.795,3.3666675,25.28173
257,5/11/1951 3:00,11.894582,5.4779167,34463.87,1.2666665,21.213211
258,5/12/1951 3:00,14.194584,3.4529169,44777.656,0,14.480099
259,5/13/1951 3:00,13.76125,4.0362496,36184.83,0.38333336,12.945962
260,5/14/1951 3:00,12.38625,6.3362503,35459.6,2.783333,16.956053
261,5/15/1951 3:00,11.119583,5.6029167,29502.678,1.4833335,16.558964
262,5/16/1951 3:00,11.452916,4.9529166,29576.773,2.7,13.205062
263,5/17/1951 3:00,15.58625,2.6195834,43483.758,1.0833334,20.250399
264,5/18/1951 3:00,17.244583,6.7112503,41686.13,1.3,18.82347
265,5/19/1951 3:00,20.327915,7.777916,47539.41,0.9333332,16.285503
266,5/20/1951 3:00,20.627916,9.502917,47668.246,1.3166667,13.180116
267,5/21/1951 3:00,17.352915,9.527916,31051.055,4.25,14.412597
268,5/22/1951 3:00,18.027918,8.302917,33684.59,1.5833334,13.937551
269,5/23/1951 3:00,19.927916,8.669583,46740.73,1.6333333,11.514362
270,5/24/1951 3:00,21.33625,9.38625,43224.168,1.35,9.983598
271,5/25/1951 3:00,21.46125,10.894584,32644.611,4.483333,15.866132
272,5/26/1951 3:00,20.086252,11.344583,22410.287,3.3500001,17.67319
273,5/27/1951 3:00,17.719584,10.744583,15685.363,7.383333,17.3599
274,5/28/1951 3:00,15.377915,9.18625,25840.633,5.316667,22.225573
275,5/29/1951 3:00,15.06125,7.01125,39029.56,1.1166668,17.789839
276,5/30/1951 3:00,15.544583,6.4029174,40805.453,0.116666675,16.1874
277,5/31/1951 3:00,18.127918,7.5945835,49772.06,0,16.42845
278,6/1/1951 3:00,18.494583,8.594583,41431.51,1.4666667,14.564919
279,6/2/1951 3:00,19.26125,8.719583,45271.707,0.75,9.923207
280,6/3/1951 3:00,20.152916,10.844583,47844.137,1.0833334,11.109851
281,6/4/1951 3:00,20.119581,10.861249,42427.812,2.8166668,12.475125
282,6/5/1951 3:00,19.16125,11.227917,31357.26,4.066667,12.293186
283,6/6/1951 3:00,20.36125,11.486249,43096.723,3.5166667,13.502038
284,6/7/1951 3:00,18.952917,10.394583,46471.645,0.6333333,12.177009
285,6/8/1951 3:00,19.902918,9.902916,46301.3,4.233333,17.657871
286,6/9/1951 3:00,18.294584,10.777916,35819.363,4.883333,14.645908
287,6/10/1951 3:00,16.819584,10.444583,34303.55,5.5166664,17.716593
288,6/11/1951 3:00,18.68625,9.302917,51091.24,0.56666666,12.926862
289,6/12/1951 3:00,22.644583,9.802917,43732.42,3.8500001,17.699617
290,6/13/1951 3:00,19.544584,12.969583,41442.44,3.1000004,20.295748
291,6/14/1951 3:00,23.919584,11.619583,49892.75,0,11.306237
292,6/15/1951 3:00,25.186249,12.627917,40571.996,1.9166666,12.591144
293,6/16/1951 3:00,22.98625,14.294582,38962.49,1.6166667,8.901377
294,6/17/1951 3:00,24.419584,14.752917,34342.844,5.1,12.515212
295,6/18/1951 3:00,21.83625,14.269584,26674.78,5.233333,15.299834
296,6/19/1951 3:00,17.68625,11.427917,31488.373,2.0166667,15.306897
297,6/20/1951 3:00,19.594582,10.219583,48876.543,0.116666675,10.522141
298,6/21/1951 3:00,23.011248,10.894584,53041.152,0,17.569952
299,6/22/1951 3:00,24.219584,14.344584,39448.37,1.2333335,17.606352
300,6/23/1951 3:00,24.077917,15.869583,34184.676,6.033333,17.672958
301,6/24/1951 3:00,19.48625,13.777916,34035.68,4.4500003,19.869879
302,6/25/1951 3:00,17.98625,12.402917,39124.01,5.8000007,16.501795
303,6/26/1951 3:00,18.277918,11.111249,40696.883,4.2999997,20.506258
304,6/27/1951 3:00,15.844583,10.836249,24414.822,3.3666666,21.537954
305,6/28/1951 3:00,18.019583,11.611249,32727.08,3.9000003,15.1842165
306,6/29/1951 3:00,16.66125,10.919583,40373.812,0.33333337,13.828438
307,6/30/1951 3:00,18.077917,9.38625,42136.38,0.016666668,11.716667
308,7/1/1951 3:00,19.719584,10.194584,52281.38,0.033333335,10.802238
309,7/2/1951 3:00,22.219582,9.944583,49619.246,0.06666667,11.026138
310,7/3/1951 3:00,22.969584,12.644584,43381.676,0.59999996,15.087138
311,7/4/1951 3:00,21.36125,12.327916,35455.426,3.4166663,18.601032
312,7/5/1951 3:00,16.394585,10.719583,36605.527,0.5,21.134134
313,7/6/1951 3:00,18.761251,9.08625,35005.656,0.84999996,14.928645
314,7/7/1951 3:00,23.302917,12.694584,46735.875,0.116666675,13.701341
315,7/8/1951 3:00,25.219584,12.43625,51403.934,0.16666667,10.091965
316,7/9/1951 3:00,22.16125,15.594583,39069.75,3.6333334,16.58687
317,7/10/1951 3:00,25.46125,13.577916,48966.645,0,16.231174
318,7/11/1951 3:00,29.03625,15.202918,48443.83,3.5666666,17.83987
319,7/12/1951 3:00,22.502916,15.969582,42985.62,1.0500001,16.698257
320,7/13/1951 3:00,24.377916,14.227916,46636.03,1.9499998,15.329061
321,7/14/1951 3:00,23.602915,13.919583,39560.12,4.0833335,11.285144
322,7/15/1951 3:00,20.677916,14.327916,20658.85,6.883333,16.109566
323,7/16/1951 3:00,17.527916,12.469583,16759.82,6.2333336,18.302475
324,7/17/1951 3:00,20.302916,11.369582,36120.895,1.8500003,13.939663
325,7/18/1951 3:00,21.369583,12.836249,37084.95,0.38333336,17.382944
326,7/19/1951 3:00,20.044584,13.069583,44970.94,0.13333334,15.714007
327,7/20/1951 3:00,21.561249,12.769584,36491.63,0.38333336,18.41641
328,7/21/1951 3:00,20.344584,13.0529175,42387.91,0.48333332,14.573394
329,7/22/1951 3:00,22.33625,10.402916,41231.184,0.6666667,10.660749
330,7/23/1951 3:00,20.511251,14.202916,33265.96,7.7999997,16.214481
331,7/24/1951 3:00,19.98625,13.777916,28098.695,5.3500004,14.779877
332,7/25/1951 3:00,18.427916,13.469583,23912.451,4.85,14.3008375
333,7/26/1951 3:00,19.669584,12.502915,23176.447,1.3166666,14.119151
334,7/27/1951 3:00,21.602915,11.377917,39627.52,0.38333336,9.337111
335,7/28/1951 3:00,24.23625,13.127917,45284.176,0.083333336,10.649291
336,7/29/1951 3:00,24.002916,13.269582,45598.125,0.06666667,11.086112
337,7/30/1951 3:00,24.877916,13.427915,48782.996,0.033333335,9.896812
338,7/31/1951 3:00,28.177917,14.469584,47406.984,0.13333334,13.274922
339,8/1/1951 3:00,29.58625,18.21125,42699.87,2.8166666,13.719228
340,8/2/1951 3:00,25.277916,17.094584,35917.336,3.0666668,11.6564245
341,8/3/1951 3:00,26.502916,16.219584,44194.246,3.8500004,13.322407
342,8/4/1951 3:00,24.244583,18.044584,35793.125,11.650001,16.06535
343,8/5/1951 3:00,21.844584,15.702918,38062.473,1.4333334,14.439866
344,8/6/1951 3:00,25.21125,13.477916,47553.457,0.3166667,13.823826
345,8/7/1951 3:00,25.202917,16.46125,42027.31,3.45,16.455484
346,8/8/1951 3:00,22.119583,15.986251,13710.828,7.683333,14.391846
347,8/9/1951 3:00,19.627916,14.444585,27338.01,8.583334,24.939535
348,8/10/1951 3:00,19.469584,12.902916,35141.203,1.3166666,21.25415
349,8/11/1951 3:00,19.327917,12.68625,39952.207,0.9666667,22.159727
350,8/12/1951 3:00,22.08625,13.219583,37359.43,0.6,23.871803
351,8/13/1951 3:00,20.052916,13.844584,43770.715,0.5666667,20.17506
352,8/14/1951 3:00,18.011251,12.277916,36838.88,2.1833336,16.182222
353,8/15/1951 3:00,19.369585,11.777916,44899.45,0.21666668,11.20505
354,8/16/1951 3:00,18.669582,10.836249,39118.74,1.1999999,11.656125
